WARD_NAME,Sex,Male,Female,Total
90,19100090 : Ward 90,10996.34417,11179.06498,22175.40915
91,19100091 : Ward 91,15693.48029,16569.56477,32263.04506
92,19100092 : Ward 92,14124.85256,15801.6747,29926.52726
93,19100093 : Ward 93,17226.87013,18104.48482,35331.35495
94,19100094 : Ward 94,14901.8807,16702.02888,31603.90958
95,19100095 : Ward 95,20277.81874,20171.17149,40448.99023
96,19100096 : Ward 96,15712.3095,16318.18626,32030.49576
97,19100097 : Ward 97,13081.00328,14758.48451,27839.48779
98,19100098 : Ward 98,16465.67698,17129.31772,33594.9947
99,19100099 : Ward 99,20962.31724,21359.44457,42321.76181
100,19100100 : Ward 100,16749.24434,17698.4675,34447.71184
101,19100101 : Ward 101,18743.82176,18340.53089,37084.35265
102,19100102 : Ward 102,13116.74435,13922.94419,27039.68854
103,19100103 : Ward 103,12508.65395,13109.0342,25617.68815
104,19100104 : Ward 104,19440.97367,17532.68493,36973.6586
105,19100105 : Ward 105,16516.43057,16946.7882,33463.21877
106,19100106 : Ward 106,26982.05775,28118.34785,55100.4056
107,19100107 : Ward 107,12123.71366,12968.16297,25091.87663
108,19100108 : Ward 108,21012.60095,20975.70687,41988.30782
109,19100109 : Ward 109,16186.05111,17058.18756,33244.23867
110,19100110 : Ward 110,11980.61241,12924.98511,24905.59752
111,19100111 : Ward 111,17153.44923,17951.39522,35104.84445
112,19100112 : Ward 112,10173.68521,11663.42039,21837.1056
113,19100113 : Ward 113,13483.90176,14222.80868,27706.71044
114,19100114 : Ward 114,13399.7569,12599.12848,25998.88538
115,19100115 : Ward 115,15484.77974,15268.73345,30753.51319
116,19100116 : Ward 116,15587.77821,16426.79722,32014.57543
