"Buurten";"Aantal inwoners per 1-1|2023";"0 t/m 4 jaar|2023";"5 t/m 14 jaar|2023";"15 t/m 19 jaar|2023";"20 t/m 44 jaar|2023";"45 t/m 64 jaar|2023";"65 t/m 79 jaar|2023";"80 jaar en ouder|2023";"% Nederlands|2023";"% Turks|2023";"% Marokkaans|2023";"% Surinaams|2023";"% Antilliaans|2023";"% Overig niet-westers|2023";"% Westers|2023"
"53 Vruchtenbuurt";7291;413;912;424;2241;2029;973;299;71,7;0,9;0,3;2,4;1,1;5,4;18,2
"54 Heesterbuurt";6869;377;673;320;3052;1687;639;121;51,5;2,4;2,0;6,7;2,3;10,7;24,4
"55 Valkenboskwartier";11493;561;933;516;5420;2814;1010;239;43,4;3,0;2,3;11,3;1,9;11,0;27,1
"60 Binckhorst";1254;101;45;31;805;215;55;"x";44,8;4,6;2,4;4,9;6,1;18,3;18,9
"61 Landen";5359;323;512;231;1998;1285;692;318;39,2;2,9;5,8;7,2;3,5;21,6;19,9
"62 Rivierenbuurt-Zuid";907;25;35;47;583;162;46;9;25,2;2,3;2,2;6,4;10,0;19,5;34,3
"63 Rivierenbuurt-Noord";4028;181;350;164;1929;937;368;99;31,7;3,0;6,0;7,0;6,3;20,4;25,8
"64 Bezuidenhout-West";5094;207;387;476;2737;896;329;62;27,5;3,3;5,5;8,3;3,6;23,6;28,2
"65 Bezuidenhout-Midden";4907;262;542;215;2192;1127;451;118;44,7;1,3;0,6;2,2;1,4;20,3;29,6
"66 Bezuidenhout-Oost";9356;488;628;285;4655;2043;965;292;54,4;1,2;0,4;2,2;1,5;13,0;27,3
"67 Kampen";2815;169;304;104;1080;664;389;105;41,7;2,1;4,7;5,6;4,1;21,6;20,3
"68 Marlot";800;22;102;68;147;252;167;42;59,3;"x";"x";"x";"x";12,3;27,8
"69 Burgen en Horsten";6696;326;604;242;2364;1608;1062;490;44,0;2,2;3,9;5,2;2,9;20,8;20,9
"70 Oostduinen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71 Belgisch Park";8383;359;864;625;2448;2338;1344;405;61,8;0,8;0,6;2,0;1,1;9,5;24,2
"72 Rijslag";1743;69;157;88;534;433;253;209;64,9;1,1;0,7;2,2;1,4;6,8;22,8
"73 Westbroekpark";1079;23;93;54;141;221;339;208;64,6;0,5;"x";0,8;0,7;7,0;26,0
"74 Duttendel";1183;52;138;83;208;307;241;154;65,0;"x";"x";"x";1,3;7,8;25,4
"75 Uilennest";2330;107;247;100;641;647;378;210;53,4;0,8;0,6;1,2;0,7;12,1;31,2
"76 Duinzigt";2609;71;153;99;435;503;700;648;61,5;0,6;0,2;0,7;0,7;8,1;28,2
"77 Waalsdorp";4103;216;691;291;916;1159;614;216;60,2;0,6;0,2;0,5;0,9;8,7;29,0
"78 Arendsdorp";1973;83;273;97;523;491;316;190;47,9;0,6;0,3;0,8;0,5;12,7;37,3
"79 v Hoytemastraat eo";2443;149;342;150;699;700;309;94;56,6;0,6;"x";0,5;0,7;9,0;32,6
"80 Morgenstond-Zuid";6563;471;759;306;2762;1642;490;133;19,7;15,4;10,6;9,9;4,2;18,2;22,0
"81 Bosjes van Pex";380;11;28;25;78;141;78;19;68,7;"x";"x";2,1;"x";7,1;21,1
"82 Rosenburg";3400;118;210;106;1017;768;842;339;63,6;0,9;1,5;5,1;2,0;8,0;18,9
"83 Eykenduynen";2634;156;251;132;879;746;372;98;69,8;1,0;0,6;2,4;1,1;5,2;19,9
"84 Leyenburg";16749;889;1472;744;6768;4004;2122;750;52,7;4,5;2,3;6,9;2,4;9,0;22,3
"85 Kerketuinen/Zichtenburg";145;"x";"x";"x";76;61;5;"x";33,1;"x";6,2;11,7;"x";17,2;26,2
"86 Houtwijk";12746;579;1491;766;3544;3455;2343;568;60,1;4,8;4,4;6,3;1,6;8,9;13,9
"87 Venen/Oorden/Raden";8599;613;1181;556;3050;2111;858;230;20,4;21,0;13,9;9,8;3,5;17,7;13,6
