Buurten,Aantal inwoners per 1-1|2023,0 t/m 4 jaar|2023,5 t/m 14 jaar|2023,15 t/m 19 jaar|2023,20 t/m 44 jaar|2023,45 t/m 64 jaar|2023,65 t/m 79 jaar|2023,80 jaar en ouder|2023,% Nederlands|2023,% Turks|2023,% Marokkaans|2023,% Surinaams|2023,% Antilliaans|2023,% Overig niet-westers|2023,% Westers|2023
44 Koningsplein eo,7769.0,380.0,717.0,338.0,3645.0,1847.0,704.0,138.0,50.9,2.1,2.4,6.1,1.6,9.4,27.5
45 Zeeheldenkwartier,12733.0,515.0,921.0,530.0,6104.0,3105.0,1299.0,259.0,46.1,2.5,4.2,4.8,2.5,13.6,26.4
46 Archipelbuurt,6290.0,193.0,555.0,364.0,1813.0,1886.0,1182.0,297.0,54.5,0.7,0.8,1.5,1.2,10.1,31.2
47 Willemspark,1779.0,58.0,113.0,70.0,705.0,513.0,248.0,72.0,43.8,1.7,0.7,1.1,0.8,13.7,38.1
48 Nassaubuurt,1644.0,75.0,220.0,99.0,449.0,471.0,252.0,78.0,56.2,0.4,,1.0,0.6,10.2,31.4
49 Haagse Bos,469.0,10.0,,8.0,153.0,91.0,118.0,86.0,48.2,2.6,,,,15.6,32.6
50 Bloemenbuurt-West,2274.0,78.0,255.0,136.0,458.0,725.0,404.0,218.0,76.1,0.3,,1.6,0.7,3.5,17.8
51 Bloemenbuurt-Oost,6548.0,328.0,718.0,287.0,2039.0,1836.0,1002.0,338.0,65.8,0.6,0.7,2.7,1.0,6.7,22.5
52 Bomenbuurt,6066.0,280.0,645.0,310.0,2032.0,1621.0,925.0,253.0,60.3,1.2,0.7,2.8,1.2,7.1,26.6
53 Vruchtenbuurt,7291.0,413.0,912.0,424.0,2241.0,2029.0,973.0,299.0,71.7,0.9,0.3,2.4,1.1,5.4,18.2
54 Heesterbuurt,6869.0,377.0,673.0,320.0,3052.0,1687.0,639.0,121.0,51.5,2.4,2.0,6.7,2.3,10.7,24.4
55 Valkenboskwartier,11493.0,561.0,933.0,516.0,5420.0,2814.0,1010.0,239.0,43.4,3.0,2.3,11.3,1.9,11.0,27.1
60 Binckhorst,1254.0,101.0,45.0,31.0,805.0,215.0,55.0,,44.8,4.6,2.4,4.9,6.1,18.3,18.9
61 Landen,5359.0,323.0,512.0,231.0,1998.0,1285.0,692.0,318.0,39.2,2.9,5.8,7.2,3.5,21.6,19.9
62 Rivierenbuurt-Zuid,907.0,25.0,35.0,47.0,583.0,162.0,46.0,9.0,25.2,2.3,2.2,6.4,10.0,19.5,34.3
63 Rivierenbuurt-Noord,4028.0,181.0,350.0,164.0,1929.0,937.0,368.0,99.0,31.7,3.0,6.0,7.0,6.3,20.4,25.8
64 Bezuidenhout-West,5094.0,207.0,387.0,476.0,2737.0,896.0,329.0,62.0,27.5,3.3,5.5,8.3,3.6,23.6,28.2
65 Bezuidenhout-Midden,4907.0,262.0,542.0,215.0,2192.0,1127.0,451.0,118.0,44.7,1.3,0.6,2.2,1.4,20.3,29.6
66 Bezuidenhout-Oost,9356.0,488.0,628.0,285.0,4655.0,2043.0,965.0,292.0,54.4,1.2,0.4,2.2,1.5,13.0,27.3
67 Kampen,2815.0,169.0,304.0,104.0,1080.0,664.0,389.0,105.0,41.7,2.1,4.7,5.6,4.1,21.6,20.3
68 Marlot,800.0,22.0,102.0,68.0,147.0,252.0,167.0,42.0,59.3,,,,,12.3,27.8
