B25077_001E,B02001_002E,B01003_001E,B25003_003E,B25001_001E,B09019_006E,B09019_001E,B15003_002E,B25018_001E,B19083_001E,B01002_001E,B08303_001E,B19013_001E,GEOID
34.7,7350.0,5376.0,2980.0,7350.0,872.0,200.0,39136.0,0.3532,2587.0,1465.0,3.9,94500.0,06073013206
36.2,7921.0,4509.0,3730.0,7921.0,774.0,107.0,127841.0,0.3678,2741.0,900.0,5.7,663100.0,06073017042
46.6,3812.0,3067.0,1404.0,3812.0,375.0,39.0,45833.0,0.4275,1516.0,945.0,4.0,481300.0,06073012303
37.6,3525.0,2921.0,1479.0,3525.0,466.0,65.0,52277.0,0.4031,1492.0,688.0,5.1,429500.0,06073012304
36.7,3393.0,2409.0,1566.0,3393.0,352.0,26.0,75930.0,0.342,1180.0,240.0,5.3,404900.0,06073012900
41.0,4861.0,3222.0,2216.0,4861.0,484.0,46.0,110906.0,0.3891,1431.0,220.0,6.1,556400.0,06073017040
41.5,4189.0,3485.0,1801.0,4189.0,587.0,17.0,78241.0,0.4381,1504.0,224.0,6.0,438500.0,06073013401
31.5,5023.0,2728.0,2293.0,5023.0,531.0,20.0,47535.0,0.4147,1774.0,1196.0,4.6,413400.0,06073002905
36.7,6521.0,4322.0,2682.0,6521.0,638.0,164.0,74199.0,0.3399,1542.0,207.0,6.3,344100.0,06073010003
38.9,6393.0,4225.0,2847.0,6393.0,473.0,145.0,74033.0,0.3201,1931.0,467.0,5.9,368900.0,06073014200
28.0,7053.0,5891.0,2730.0,7053.0,725.0,100.0,41703.0,0.3866,1740.0,1279.0,4.2,366300.0,06073010009
34.0,6952.0,2188.0,2506.0,6952.0,800.0,221.0,57035.0,0.4599,1849.0,762.0,5.2,357500.0,06073003115
31.4,4674.0,1745.0,2002.0,4674.0,475.0,148.0,66071.0,0.2967,1127.0,304.0,5.3,325900.0,06073003105
31.7,3988.0,2231.0,1698.0,3988.0,414.0,94.0,60000.0,0.3738,1038.0,297.0,6.0,342900.0,06073003108
35.5,3658.0,1603.0,1728.0,3658.0,328.0,18.0,91645.0,0.3393,1181.0,600.0,4.9,513800.0,06073013420
35.9,4303.0,3157.0,1822.0,4303.0,716.0,50.0,61250.0,0.4511,1883.0,1104.0,4.6,616500.0,06073014901
40.1,3339.0,2536.0,1580.0,3339.0,408.0,49.0,54345.0,0.4246,1445.0,918.0,4.3,477900.0,06073014902
39.8,7797.0,4980.0,3410.0,7797.0,767.0,53.0,101747.0,0.2873,2337.0,526.0,6.1,481500.0,06073013414
35.7,4789.0,3471.0,1981.0,4789.0,486.0,17.0,66467.0,0.3656,1756.0,678.0,5.6,433900.0,06073013801
42.0,1923.0,1514.0,855.0,1923.0,202.0,16.0,93250.0,0.3347,690.0,109.0,5.7,418100.0,06073016613
29.5,4465.0,2726.0,2116.0,4465.0,495.0,52.0,70605.0,0.3126,1135.0,645.0,5.4,347200.0,06073013908
37.7,5247.0,3229.0,1941.0,5247.0,545.0,44.0,46793.0,0.4265,1683.0,829.0,5.1,282500.0,06073013906
46.5,5200.0,3572.0,2100.0,5200.0,511.0,27.0,92885.0,0.406,1750.0,257.0,7.2,624100.0,06073013411
36.7,6158.0,5327.0,3086.0,6158.0,705.0,24.0,93880.0,0.3329,1961.0,422.0,6.0,428600.0,06073016612
39.6,6344.0,5164.0,3152.0,6344.0,697.0,26.0,69823.0,0.3884,2196.0,1005.0,5.7,518600.0,06073016100
27.0,3849.0,2234.0,1690.0,3849.0,355.0,206.0,39286.0,0.4004,1014.0,893.0,4.1,515570.89638157893,06073015901
30.8,5031.0,3548.0,2070.0,5031.0,616.0,150.0,45885.0,0.4117,1728.0,1109.0,4.3,369800.0,06073015902
28.3,3609.0,2428.0,1825.0,3609.0,437.0,22.0,43458.0,0.4047,1443.0,1296.0,3.8,172500.0,06073016202
38.2,3266.0,2708.0,1584.0,3266.0,461.0,5.0,116643.0,0.3318,1032.0,134.0,6.0,574100.0,06073017010
37.6,8449.0,5102.0,4079.0,8449.0,659.0,48.0,125988.0,0.3602,2517.0,432.0,6.7,588800.0,06073013410
39.9,5021.0,3540.0,2235.0,5021.0,500.0,82.0,61159.0,0.3919,1981.0,777.0,5.4,402900.0,06073013505
29.5,6022.0,3939.0,2282.0,6022.0,787.0,109.0,41426.0,0.467,1700.0,1140.0,4.2,338000.0,06073016302
34.1,7920.0,6061.0,3266.0,7920.0,641.0,230.0,64559.0,0.4988,2583.0,1390.0,4.7,472900.0,06073016402
36.1,7073.0,6451.0,2903.0,7073.0,1071.0,6.0,62169.0,0.4071,2780.0,1315.0,5.0,400400.0,06073021205
46.7,5660.0,5287.0,2505.0,5660.0,630.0,24.0,113715.0,0.3744,1917.0,96.0,6.9,635100.0,06073021204
43.0,2214.0,2065.0,894.0,2214.0,161.0,2.0,95278.0,0.378,1189.0,140.0,5.1,385000.0,06073020902
40.8,3370.0,3188.0,1658.0,3370.0,349.0,9.0,80648.0,0.4977,2255.0,1364.0,4.1,774000.0,06073018000
38.2,3057.0,2348.0,1362.0,3057.0,301.0,68.0,69868.0,0.3608,916.0,266.0,5.8,361900.0,06073018510
28.6,3853.0,2412.0,1848.0,3853.0,480.0,23.0,57571.0,0.378,1308.0,716.0,5.3,341400.0,06073018613
47.3,4400.0,3848.0,1637.0,4400.0,600.0,32.0,96694.0,0.4559,2230.0,432.0,5.9,784200.0,06073017813
44.9,4489.0,4009.0,2055.0,4489.0,496.0,19.0,103750.0,0.3697,1745.0,220.0,6.5,599500.0,06073019804
33.8,9422.0,7036.0,4329.0,9422.0,1068.0,53.0,70938.0,0.4166,3677.0,1642.0,5.6,440700.0,06073018513
32.7,3912.0,2812.0,1684.0,3912.0,430.0,66.0,69185.0,0.4301,1340.0,566.0,5.8,430900.0,06073018516
39.5,7421.0,6166.0,3140.0,7421.0,782.0,45.0,66563.0,0.572,3341.0,1624.0,4.5,811000.0,06073017604
44.4,3009.0,2730.0,1345.0,3009.0,311.0,0.0,155350.0,0.4737,1383.0,439.0,5.5,1583300.0,06073017303
50.7,4338.0,4163.0,1919.0,4338.0,311.0,0.0,122563.0,0.5662,2838.0,1006.0,5.1,2000001.0,06073017200
32.1,4154.0,3549.0,2667.0,4154.0,445.0,51.0,101591.0,0.4358,1873.0,1251.0,4.1,876600.0,06073008003
28.5,2895.0,2777.0,1956.0,2895.0,65.0,5.0,74643.0,0.4059,1662.0,1072.0,3.8,863600.0,06073007905
28.8,3532.0,3070.0,2502.0,3532.0,211.0,0.0,68255.0,0.3712,1767.0,1430.0,3.7,617000.0,06073007907
34.2,3869.0,3103.0,1703.0,3869.0,412.0,33.0,77872.0,0.3858,1298.0,404.0,6.1,434700.0,06073018612
35.3,3684.0,3336.0,2457.0,3684.0,169.0,0.0,62560.0,0.4218,2339.0,1748.0,3.5,505600.0,06073007501
